version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Royal Challengers Bangalore
info,team_type,club
info,gender,male
ball,2,5.2,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,0,0,,,,,,"","",5.2,,,,
ball,2,5.3,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,0,0,,,,,,"","",5.3,,,,
ball,2,5.4,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,4,0,,,,,,"","",5.4,,,,
ball,2,5.5,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,0,0,,,,,,"","",5.5,,,,
ball,2,5.6,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,2,0,,,,,,"","",5.6,,,,
ball,2,6.1,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,1,0,,,,,,"","",6.1,,,,
ball,2,6.2,Royal Challengers Bangalore,V Kohli,D Padikkal,R Tewatia,0,0,,,,,,"","",6.2,,,,
ball,2,6.3,Royal Challengers Bangalore,V Kohli,D Padikkal,R Tewatia,1,0,,,,,,"","",6.3,,,,
ball,2,6.4,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,1,0,,,,,,"","",6.4,,,,
ball,2,6.5,Royal Challengers Bangalore,V Kohli,D Padikkal,R Tewatia,1,0,,,,,,"","",6.5,,,,
ball,2,6.6,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,0,,,,,,"","",6.6,,,,
ball,2,7.1,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,1,0,,,,,,"","",7.1,,,,
ball,2,7.2,Royal Challengers Bangalore,D Padikkal,V Kohli,JD Unadkat,0,0,,,,,,"","",7.2,,,,
ball,2,7.3,Royal Challengers Bangalore,D Padikkal,V Kohli,JD Unadkat,1,0,,,,,,"","",7.3,,,,
ball,2,7.4,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,1,0,,,,,,"","",7.4,,,,
ball,2,7.5,Royal Challengers Bangalore,D Padikkal,V Kohli,JD Unadkat,1,0,,,,,,"","",7.5,,,,
ball,2,7.6,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,0,0,,,,,,"","",7.6,,,,
ball,2,8.1,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,0,,,,,,"","",8.1,,,,
ball,2,8.2,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,0,,,,,,"","",8.2,,,,
ball,2,8.3,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,1,1,,1,,,,"","",8.3,,,,
ball,2,8.4,Royal Challengers Bangalore,V Kohli,D Padikkal,R Tewatia,1,0,,,,,,"","",8.3,,,,
ball,2,8.5,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,2,0,,,,,,"","",8.4,,,,
ball,2,8.6,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,1,1,,,,,"","",8.5,,,,
ball,2,8.7,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,1,1,,,,,"","",8.5,,,,
ball,2,8.8,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,0,1,1,,,,,"","",8.5,,,,
ball,2,8.9,Royal Challengers Bangalore,D Padikkal,V Kohli,R Tewatia,1,0,,,,,,"","",8.5,,,,
ball,2,8.10,Royal Challengers Bangalore,V Kohli,D Padikkal,R Tewatia,0,0,,,,,,"","",8.6,,,,
ball,2,9.1,Royal Challengers Bangalore,D Padikkal,V Kohli,S Gopal,1,0,,,,,,"","",9.1,,,,
ball,2,9.2,Royal Challengers Bangalore,V Kohli,D Padikkal,S Gopal,1,0,,,,,,"","",9.2,,,,
ball,2,9.3,Royal Challengers Bangalore,D Padikkal,V Kohli,S Gopal,1,0,,,,,,"","",9.3,,,,
ball,2,9.4,Royal Challengers Bangalore,V Kohli,D Padikkal,S Gopal,2,0,,,,,,"","",9.4,,,,
ball,2,9.5,Royal Challengers Bangalore,V Kohli,D Padikkal,S Gopal,2,0,,,,,,"","",9.5,,,,
ball,2,9.6,Royal Challengers Bangalore,V Kohli,D Padikkal,S Gopal,6,0,,,,,,"","",9.6,,,,
